title,description,pubdate
Extreme weather: What is it and how is it connected to climate change?,"Heatwaves, wildfires, floods and droughts highlight how extreme weather is linked to climate change.","Thu, 12 May 2022 14:47:17 GMT"
Heatwaves: All you need to know,Matt Taylor explains exactly what defines a heatwave in the UK.,"Wed, 15 Jun 2022 12:12:00 GMT"
Russia defiant and a rock band reflects on war - round-up,"Foreign minister says Russia is ""unashamed"" and an award-winning band reflects on filming in Kyiv.","Thu, 16 Jun 2022 20:00:41 GMT"
"Ukraine war: Moroccan's death sentence being ignored, sister says",Brahim Saaudun and two Britons were captured by Russian forces while fighting for Ukraine.,"Thu, 16 Jun 2022 12:18:34 GMT"
Ukraine war: Thousands of civilians trapped in Severodonetsk,"Food and water are running out for the women and children still there, a UN official tells the BBC.","Wed, 15 Jun 2022 20:50:02 GMT"
In the room where Ukraine orders arms from the West,"From an attic room in Germany, the West coordinates the supply of arms to Ukraine - but is it enough?","Wed, 15 Jun 2022 16:01:45 GMT"
Babushka Z: The woman who became a Russian propaganda icon,"A video of an elderly woman brandishing a Soviet flag went viral, but what really happened?","Wed, 15 Jun 2022 00:15:09 GMT"
Ukraine war: 'Almost every family has lost someone close to them',Traumatised families from Mariupol reveal dire living conditions under Russian occupation.,"Tue, 14 Jun 2022 21:06:55 GMT"
Russia's economy in for a bumpy ride as sanctions bite,"Four months after Russia invaded Ukraine, the economy still works but it lacks some of its parts.","Tue, 14 Jun 2022 23:56:25 GMT"
How many Ukrainian refugees are there and where have they gone?,The UN says more than 13 million people have fled their homes since the Russian invasion.,"Tue, 14 Jun 2022 15:58:26 GMT"
Ukrainian widow: My baby and I were kidnapped,Viktoria and her surviving child have been waiting for nearly 50 days to get a UK visa.,"Wed, 15 Jun 2022 10:13:53 GMT"
Climate change: New fossil fuel funding is 'delusional' says UN chief,"UN chief Antonio Guterres warns that the rush to find new sources of coal, oil and gas is a major mistake.","Tue, 14 Jun 2022 07:50:11 GMT"
Ukraine war: Russia earns $97bn on energy exports since invasion,A report warns of potential loopholes in efforts to limit use of Russian oil and gas.,"Mon, 13 Jun 2022 15:02:11 GMT"
Ukraine war: Every bridge leading to key city Severodonetsk destroyed,"Severodonetsk is now effectively cut off from the rest of the country, the local governor says.","Mon, 13 Jun 2022 21:14:33 GMT"
